epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,188.273,0.3894,0.76409,0.46624,0.31044,0.96998,0.99843,0.97297,0.99221,0.92368,0.94383,0.91892,0.9424,0.88009,0.37417,0.75573,0.41027,0.41924,0.92371,0.0002972,0.0002972,0.0002972
88,190.805,0.3747,0.7883,0.48152,0.34388,0.95566,0.99835,0.97297,0.99262,0.93198,0.94288,0.91892,0.94095,0.881,0.35555,0.8158,0.41909,0.42187,0.91133,0.0002774,0.0002774,0.0002774
89,193.271,0.36378,0.71932,0.46125,0.2909,0.94692,0.99837,0.97297,0.99144,0.93255,0.94288,0.91892,0.93441,0.88347,0.33077,0.8241,0.42317,0.4385,0.89858,0.0002576,0.0002576,0.0002576
90,196.065,0.36357,0.592,0.45083,0.30667,0.94751,0.99833,0.97297,0.9901,0.93311,0.94287,0.91892,0.91958,0.89151,0.34827,0.83775,0.41955,0.44838,0.90625,0.0002378,0.0002378,0.0002378
91,218.753,0.31591,0.55979,0.45448,0.29965,0.91783,0.99823,0.97297,0.99042,0.93113,0.94307,0.91892,0.93533,0.89121,0.35183,0.76925,0.41243,0.41024,0.90936,0.000218,0.000218,0.000218
92,221.281,0.359,0.51763,0.44374,0.35611,0.98559,0.99816,0.97297,0.99262,0.93014,0.94271,0.91892,0.93963,0.91006,0.35268,0.7218,0.38436,0.3527,0.91751,0.0001982,0.0001982,0.0001982
93,223.67,0.30454,0.48652,0.37721,0.25485,0.9338,0.99812,0.97297,0.99447,0.9377,0.94266,0.91892,0.94423,0.91077,0.34579,0.72318,0.36868,0.33453,0.91209,0.0001784,0.0001784,0.0001784
94,226.016,0.32228,0.55784,0.37776,0.26245,0.92858,0.99744,0.97297,0.99447,0.92464,0.94442,0.91892,0.9453,0.92256,0.36402,0.73055,0.35587,0.32268,0.91925,0.0001586,0.0001586,0.0001586
95,228.117,0.40652,0.3966,0.43133,0.41011,1.0306,1,0.99813,0.995,0.91841,0.94585,0.94421,0.94617,0.91268,0.37292,0.71429,0.35044,0.31006,0.91795,0.0001388,0.0001388,0.0001388
96,230.27,0.29591,0.48471,0.32258,0.23881,0.89371,1,0.99969,0.995,0.93011,0.94594,0.94588,0.94889,0.91497,0.37749,0.66013,0.33886,0.29141,0.91618,0.000119,0.000119,0.000119
97,232.593,0.29844,0.45171,0.33325,0.23379,0.89618,1,0.99963,0.995,0.93757,0.94594,0.94579,0.94991,0.92491,0.37094,0.63462,0.33027,0.28619,0.91134,9.92e-05,9.92e-05,9.92e-05
98,234.85,0.27806,0.36621,0.33991,0.24073,0.91515,1,0.99942,0.995,0.93603,0.94592,0.94548,0.95197,0.93488,0.36337,0.60864,0.31857,0.27676,0.907,7.94e-05,7.94e-05,7.94e-05
99,237.009,0.28994,0.50201,0.33577,0.23897,0.90121,1,0.99926,0.995,0.93411,0.94591,0.94532,0.95224,0.93765,0.35871,0.59481,0.31053,0.27874,0.90443,5.96e-05,5.96e-05,5.96e-05
100,239.183,0.28641,0.32235,0.34806,0.22658,0.91373,1,0.99907,0.995,0.93296,0.9459,0.94511,0.9541,0.93776,0.35932,0.5911,0.30699,0.29033,0.90455,3.98e-05,3.98e-05,3.98e-05
